timestamp,tweet,username
Mon Oct 29 00:55:38 +0000 2018,"RT @kompasiana: Literally yang bener-bener hape gue ketinggalan tau gak sih lo. Which is gue mati gaya gitu, and then %#&amp;%@&amp;%# https://t.co…",jurnalispalsu
Mon Oct 29 00:55:36 +0000 2018,"RT @GiaPratamaMD: Umur itu hanya angka2,
Muda itu Gelora di Jiwa.. 

Selamat hari Sumpah Pemuda, teman2. 

Berjanjilah untuk menjaga keseha…",D2gh_arief
Mon Oct 29 00:55:34 +0000 2018,RT @FiersaBesari: Sumpah Pemuda di atas Gunung Kerinci https://t.co/6A6vqfmRIC,astriinursetya
Mon Oct 29 00:55:28 +0000 2018,RT @andihiyat: Mengisi hari sumpah pemuda dengan ngga ngapa-ngapain,Babyhunnie19
Mon Oct 29 00:55:25 +0000 2018,RT @sandiuno: Ribuan anak muda hadir dalam Indonesia Young Entrepreneur Summit 2018 di Jakarta. Di Hari Sumpah Pemuda ini saya ingin anak-a…,UsodoWiro
Mon Oct 29 00:55:21 +0000 2018,Memperingati Sumpah Pemuda 1928: Antara Momentum Keruntuhan dan Kebangkitan Indonesia https://t.co/2SiuRzRx0B,birokratmenulis
Mon Oct 29 00:55:07 +0000 2018,"RT @AlbertShadrach: Kalau Timnas ingin berjaya, perbaiki sepakbola nasional kita. Jangan ada lagi anak titipan di SSB, hingga mafia yang bi…",wilfifadillah
Mon Oct 29 00:55:06 +0000 2018,RT @dianhadi: di hari sumpah pemuda yg fitri ini,greentsoya
Mon Oct 29 00:55:03 +0000 2018,"RT @wikimediaid: Kekeliruan yang berulang setiap tahunnya: Sumpah Pemuda tidak pernah berkata ""bahasa satu, bahasa Indonesia."" #HariSumpahP…",haku_namanya
Mon Oct 29 00:54:59 +0000 2018,"RT @historia_id: Dalam Kongres Pemuda II, orang Tionghoa menyediakan tempat, menjadi peserta, memuat dan merekam lagu Indonesia Raya untuk…",FaGtng
Mon Oct 29 00:54:56 +0000 2018,"RT @dewahoya: Gue kira TO MU UC H  TO MU UC H apaan. Ternyata 😭😂 

Asli dah ngakak nonton ni video. Makna yang mau di sampein juga dalem ba…",Fikyuuu
Mon Oct 29 00:54:54 +0000 2018,"Dia adalah Wanita terhebat Wanita yang tangguh yang aku miliki sekarang dan nanti 😍😘 Love you Bundo sayang..

_28Ok… https://t.co/mIrdqApe0o",Rsnatanegoro21
Mon Oct 29 00:54:52 +0000 2018,"Sumpah Pemuda....
Selamat pagi saudara2
Selamat berjuang ikhwa fillah
Hari esok dipersiapkan untuk pemuda yg tangguh..
#tauhidsosial",Ardian_2174n
